blocks,delta_cp_deg,dm21,dm31,dm32,eps,g_diag,g_off,jarlskog,label,m_light,ok_3d,phase12_pi,phase23_pi,score,theta12,theta13,theta23,theta_e_deg,ue3,um3,ut3
"[[0], [1], [2]]",175.3814792305053,9.739935960331587e-15,8.355268184144432e-15,-1.3846677761871545e-15,0.005,1.05,1.0,8.423619299624162e-06,split,"[3.029187180599763e-08, 1.0323533047286951e-07, 9.62957199550189e-08]",False,0.088,0.016,2126.269467134155,1.1549244454641596,1.0244512383948123,72.24318144746834,1.8137821253962192,0.017879094454504783,0.9522072834115376,0.3049288890864677
"[[0], [1], [2]]",173.633110333385,1.0372009347574925e-14,8.771445534420938e-15,-1.6005638131539876e-15,0.005,1.075,1.0,8.131074410880529e-06,split,"[2.5682243568237088e-08, 1.0503136189859284e-07, 9.711345513943572e-08]",False,0.088,0.016,2229.5324231176364,0.9816567214970757,0.910802803603929,73.70262916606055,1.728240694633766,0.015895838262582684,0.9596969001151429,0.2805872096787661
"[[0], [1], [2]]",171.59457875349173,1.0924711592845053e-14,9.105203868149439e-15,-1.8195077246956147e-15,0.005,1.1,1.0,8.00327556232782e-06,split,"[2.1696838766226478e-08, 1.0674954053902377e-07, 9.785681724129937e-08]",False,0.088,0.016,2310.0081609456643,0.8542722329845872,0.8324938794989853,74.81239435316898,1.6506302328349831,0.014529247966327045,0.9649713208600383,0.2619527645801165
"[[0], [1], [2]]",-169.42402663817828,9.375208586773406e-15,1.1415421922768153e-14,2.0402133359947476e-15,0.005,1.125,1.0,-7.739558184990012e-06,split,"[1.8266060646972992e-08, 9.853353519656291e-08, 1.0839313121377687e-07]",False,0.088,0.016,2383.682378403665,0.7683047868964138,0.7589410804246549,14.178552661478319,1.5813033150523075,0.013245633334135249,0.2449229911431108,0.9694520522476031
"[[0], [1], [2]]",-133.3600684516731,9.816476291537168e-15,1.2083134502416842e-14,2.2666582108796745e-15,0.005,1.15,1.0,-4.87291574089662e-05,split,"[4.4307521996006423e-10, 9.907912296335545e-08, 1.0992420487803123e-07]",False,0.088,0.016,2393.925203059942,1.4214099023035056,0.6846383772552334,13.45039967431401,1.521203380050179,0.011948909513220685,0.23258690080667224,0.9725022144625646
"[[0], [1], [2]]",-167.0124956638594,-1.4239644469947515e-13,-1.3955381023191468e-13,2.8426344675604837e-15,0.01,0.55,1.0,-2.1954922487716972e-05,split,"[3.797113905084995e-07, 4.224092070993547e-08, 6.802153960315467e-08]",False,0.088,0.016,2805.319605041555,5.457209615081492,0.7970761242510911,85.73335665620581,-5.729577951308233,0.013911154036572164,0.9971321192942234,0.0743909703202029
"[[0], [1], [2]]",-167.1510387621865,-1.1838859453187913e-13,-1.1565913203054905e-13,2.7294625013300683e-15,0.01,0.575,1.0,-2.001153966060839e-05,split,"[3.471576512067955e-07, 4.61501924106496e-08, 6.970869931988437e-08]",False,0.088,0.016,2827.1568277656006,5.363632019293998,0.7802905291713362,85.91737724936728,-5.729577951308233,0.013618217891320927,0.9973699246176092,0.07118832495380904
"[[0], [1], [2]]",-166.90244228683852,-9.745268712908591e-14,-9.485619961568041e-14,2.5964875134054973e-15,0.01,0.6,1.0,-1.7589280970215593e-05,split,"[3.1615735574337293e-07, 5.0027856855513544e-08, 7.140920091249622e-08]",False,0.088,0.016,2863.69542094474,5.2524508595428365,0.7473342278828139,86.24833014751997,-5.729577951308233,0.013043073042679019,0.9977721344749102,0.06542664526769705
"[[0], [1], [2]]",-166.71824538371237,-7.935813542843405e-14,-7.691196381491071e-14,2.446171613523324e-15,0.01,0.625,1.0,-1.4260519092107227e-05,split,"[2.8680659633038123e-07, 5.3850610676056486e-08, 7.31167551502905e-08]",False,0.088,0.016,2914.7838418934457,5.11775203067403,0.7007730177819979,86.71943875695594,-5.729577951308233,0.012230491532716617,0.9982866162313525,0.05722103573183622
"[[0], [1], [2]]",-166.13294466733257,-6.38539489481868e-14,-6.157279254585132e-14,2.281156402335479e-15,0.01,0.65,1.0,-1.1797673137685802e-05,split,"[2.591738964385744e-07, 5.759478836636251e-08, 7.482189552063998e-08]",False,0.088,0.016,2963.158079638665,4.949370379377332,0.6568593084215703,87.13263402104785,-5.729577951308233,0.01146410652636595,0.9986823787080515,0.0500208028682069
