eps,phase12_pi,phase23_pi,ok_3d,blocks,theta12,theta13,theta23,deltaCP_deg,J,dm21,dm31,dm32,sum_mnu,ordering,Ue_theta_deg,score
0.01,0.074,0.03,True,"[[0, 1, 2]]",26.023114857181437,6.674680348288503,46.3883233741158,-39.56558709949598,-0.014380244476607323,7.557784570806423e-07,3.1112146702364865e-06,2.3554362131558442e-06,0.007740134471058741,NO,4.568550106784942,78.58701076905237
0.01,0.074,0.032,True,"[[0, 1, 2]]",26.1947639823431,6.557972445424544,46.415644866857896,-42.4647140322018,-0.015052891377220616,7.640556646378939e-07,3.1037597040464837e-06,2.33970403940859e-06,0.007739814508027519,NO,4.568550106784942,78.93873566107384
0.01,0.076,0.012,True,"[[0, 1, 2]]",27.045845965000208,7.54883452013263,46.03811946745316,-10.907476184910397,-0.004943462272308326,7.064560449984529e-07,3.2690922746816967e-06,2.5626362296832437e-06,0.007745112048406985,NO,4.568550106783665,48.08265872559814
0.01,0.076,0.014,True,"[[0, 1, 2]]",26.80658378852416,7.488206445880523,46.065862642593245,-13.956146946118906,-0.006213983289735796,7.066893644536187e-07,3.2521241569732423e-06,2.5454347925196236e-06,0.0077446029534683665,NO,4.568550106783665,52.02570995251795
0.01,0.076,0.016,True,"[[0, 1, 2]]",26.61346176580157,7.422369526609024,46.09354970263183,-17.04217811695186,-0.0074496941140873695,7.079356842656243e-07,3.23616453505996e-06,2.5282288507943357e-06,0.007744112850124515,NO,4.568550106784223,55.57383334751761
0.01,0.076,0.018,True,"[[0, 1, 2]]",26.46749622194306,7.351148273136699,46.12119989506846,-20.150833699533305,-0.00864242992297919,7.101785595623607e-07,3.221222736750108e-06,2.511044177187747e-06,0.007743643371199118,NO,4.568550106784223,58.67448165161196
0.01,0.076,0.02,True,"[[0, 1, 2]]",26.369253706192374,7.2744028166696175,46.14870133113177,-23.2671380782315,-0.009784624600621671,7.133892356210173e-07,3.2072996953388166e-06,2.4939104597177993e-06,0.00774319260302001,NO,4.568550106783665,61.29415555075419
0.01,0.076,0.022,True,"[[0, 1, 2]]",26.31826688902129,7.191947558125263,46.17619323314285,-26.37643514945699,-0.010869222762356273,7.175434626934301e-07,3.1944050870140826e-06,2.4768616243206524e-06,0.007742763280608905,NO,4.568550106784446,63.430044451239624
0.01,0.076,0.024,True,"[[0, 1, 2]]",26.31363813208758,7.10367623272702,46.20343409593602,-29.464848876155855,-0.011890053141446408,7.226009930580296e-07,3.1825307913268243e-06,2.4599297982687947e-06,0.007742352445779932,NO,4.568550106784446,65.09868704530055
0.01,0.076,0.026,True,"[[0, 1, 2]]",26.353628777532037,7.009426640842573,46.230513041618245,-32.51981794824172,-0.012841594906879628,7.285273886465239e-07,3.1716816526494214e-06,2.4431542640028976e-06,0.007741962052998631,NO,4.568550106783665,66.34505141558525
0.01,0.076,0.028,True,"[[0, 1, 2]]",26.43602039138528,6.909084947755001,46.25738166805101,-35.53047459140648,-0.013719228799190485,7.352817072823061e-07,3.1618508555606506e-06,2.4265691482783444e-06,0.00774159148975102,NO,4.568550106784446,67.23318293180458
0.01,0.076,0.03,True,"[[0, 1, 2]]",26.558116023558537,6.8025388567773835,46.28395142467945,-38.487880792257705,-0.014519116950521889,7.428199959009878e-07,3.1530345632137177e-06,2.41021456731273e-06,0.0077412411551142125,NO,4.568550106784446,67.84510697639375
0.01,0.076,0.032,True,"[[0, 1, 2]]",26.71703110803139,6.689670024056104,46.31023875104947,-41.38528111836786,-0.015238240664879762,7.510963721520317e-07,3.145233589663451e-06,2.3941372175114193e-06,0.007740911730051234,NO,4.568550106784446,68.27496249771065
0.01,0.078,0.012,True,"[[0, 1, 2]]",27.72103035937884,7.649463677839985,45.94841168303464,-9.911612356946087,-0.004631270837844523,6.957655139878529e-07,3.314294025740202e-06,2.6185285117523493e-06,0.007746330187599988,NO,4.568550106784633,38.571296698086336
0.01,0.078,0.014,True,"[[0, 1, 2]]",27.470189705198255,7.590617339536437,45.9749278514204,-12.945787354211102,-0.005946740213769964,6.956320544972187e-07,3.2970030251697117e-06,2.601370970672493e-06,0.007745810599815937,NO,4.568550106784633,42.22625457927894
