ok_3d,blocks,g_diag,g_off,eps,phase_pi,beta,rel_cut,tol_rel_blocks,seesaw_M,theta12,theta13,theta23,ue3,um3,ut3,m_light,dm21,dm31,score,note
True,"[[0, 1, 2]]",0.892,1.0,0.01,0.085,1.5,0.15,0.03,1000000.0,40.113708963115315,12.037572019371261,46.149370374848054,0.20855307168405057,0.7052910378081795,0.6775471705191519,7.684170256338e-08;8.148669730366e-08;9.855948669717e-08,7.354345846200287e-16,3.80932516517176e-15,,outside_angle_window
True,"[[0, 1, 2]]",0.892,1.0,0.011,0.06,1.5,0.15,0.03,1000000.0,32.80633316492911,10.763763347876022,47.43312696189958,0.18676003067080849,0.7235302195154167,0.66454850266306,7.755949597036e-08;8.256254044998e-08;9.579516330962e-08,8.010976703779811e-16,3.161237898340981e-15,20.318162600620738,
True,"[[0, 1, 2]]",0.892,1.0,0.011,0.0625,1.5,0.15,0.03,1000000.0,34.21062200282035,10.912022029983858,46.87712004827854,0.18930147733662728,0.7166922471764064,0.671205760937216,7.746585315005e-08;8.231956858700e-08;9.614786920381e-08,7.755529680848879e-16,3.2434543481668997e-15,20.217025308497753,
True,"[[0, 1, 2]]",0.892,1.0,0.011,0.065,1.5,0.15,0.03,1000000.0,33.3929382930064,11.0295603453536,47.15682826611611,0.19131541631196175,0.7196741543178826,0.6674335345846242,7.747541660942e-08;8.244153419137e-08;9.637425758865e-08,7.941663810228914e-16,3.2855573469599795e-15,22.360248452367195,
True,"[[0, 1, 2]]",0.892,1.0,0.011,0.0675,1.5,0.15,0.03,1000000.0,37.14599138953976,11.22501994376557,46.401146500133095,0.19466269657414936,0.7103321653607962,0.6764130760239839,7.724404673074e-08;8.191224271329e-08;9.667951651380e-08,7.429727509815203e-16,3.3802861580010977e-15,36.66785212084225,
True,"[[0, 1, 2]]",0.892,1.0,0.011,0.07,1.5,0.15,0.03,1000000.0,35.44382458522662,11.186141349912871,46.88685790247176,0.1939970730158826,0.7161369665830389,0.6704572922673127,7.731015750264e-08;8.214565857572e-08;9.710477956038e-08,7.710487697559343e-16,3.4524777603876092e-15,27.80183292448442,
True,"[[0, 1, 2]]",0.892,1.0,0.011,0.0725,1.5,0.15,0.03,1000000.0,37.01885369456146,11.370900994871155,46.41825314962019,0.19715946120714023,0.7101727545517715,0.6758570895897754,7.719664392408e-08;8.190837787952e-08;9.735813923067e-08,7.496605337131623e-16,3.5192854413166882e-15,38.14122102918259,
True,"[[0, 1, 2]]",0.892,1.0,0.011,0.075,1.5,0.15,0.03,1000000.0,37.926681991964614,11.415080075171636,46.66628841609168,0.19791533792629074,0.7129811085211266,0.6726718798235968,7.710274980298e-08;8.182632975415e-08;9.769247447909e-08,7.507142138536999e-16,3.598985542666195e-15,47.04139443086309,
True,"[[0, 1, 2]]",0.892,1.0,0.011,0.0775,1.5,0.15,0.03,1000000.0,39.375625889909635,11.597725003612988,46.54564628242201,0.20103902579880603,0.7111015462387102,0.6737342955814891,7.697614077891e-08;8.165055445464e-08;9.787168249745e-08,7.414867935355641e-16,3.6535399856668066e-15,,outside_angle_window
True,"[[0, 1, 2]]",0.892,1.0,0.011,0.08,1.5,0.15,0.03,1000000.0,43.21452222229826,12.106089237873848,45.67385337180038,0.2097224778331589,0.6994647067416673,0.6832024636330104,7.668795763913e-08;8.118807985492e-08;9.767108965849e-08,7.104614636677952e-16,3.658598908216904e-15,,outside_angle_window
True,"[[0, 1, 2]]",0.892,1.0,0.011,0.0825,1.5,0.15,0.03,1000000.0,41.29840929438579,11.982469558339627,45.86348028267082,0.20761240321029054,0.7020451195834313,0.6811972842739722,7.680036571222e-08;8.136981502482e-08;9.826491238936e-08,7.227506236425085e-16,3.757696833357849e-15,,outside_angle_window
True,"[[0, 1, 2]]",0.892,1.0,0.011,0.085,1.5,0.15,0.03,1000000.0,42.125065128002994,12.089713958637056,45.85516456684291,0.20944302270888884,0.7016661622670917,0.6810273246851675,7.670812811648e-08;8.128064799981e-08;9.852816294856e-08,7.224068201359874e-16,3.823661974883611e-15,,outside_angle_window
True,"[[0, 1, 2]]",0.892,1.0,0.012,0.06,1.5,0.15,0.03,1000000.0,32.52911550233182,11.085980229703061,46.36707367250691,0.19228184713234128,0.7102696006447146,0.6771593502738307,7.758209374185e-08;8.249853006346e-08;9.552444959857e-08,7.870261932616412e-16,3.105939201739389e-15,21.16762334176375,
True,"[[0, 1, 2]]",0.892,1.0,0.012,0.0625,1.5,0.15,0.03,1000000.0,33.856217453031825,10.961821795419471,46.76244010395279,0.1901548601502125,0.7152272282570995,0.6725259408534537,7.748353175245e-08;8.236306684293e-08;9.609453184034e-08,7.799770869400885e-16,3.230461356782103e-15,20.048936064427338,
True,"[[0, 1, 2]]",0.892,1.0,0.012,0.065,1.5,0.15,0.03,1000000.0,34.745154741716604,11.448824695300686,46.10681278774411,0.19849260824976378,0.7062946666539444,0.6795208078685329,7.740100187483e-08;8.216446567014e-08;9.594569814589e-08,7.60084327631477e-16,3.2146619014746316e-15,27.38188225994171,
True,"[[0, 1, 2]]",0.892,1.0,0.012,0.0675,1.5,0.15,0.03,1000000.0,35.37371452657301,11.143798674814768,47.028312680273835,0.19327204081667132,0.7178947466280609,0.6687847568555184,7.733111394872e-08;8.218443649070e-08;9.668312426204e-08,7.741804167427304e-16,3.3675253325180414e-15,27.422336455333074,
True,"[[0, 1, 2]]",0.892,1.0,0.012,0.07,1.5,0.15,0.03,1000000.0,37.172876546435056,11.408158887230458,46.19856769836734,0.19779692844632274,0.707483463708736,0.6784862000628994,7.721201387014e-08;8.188639210651e-08;9.688831263725e-08,7.436861263381021e-16,3.4256500398110394e-15,39.32843097000354,
True,"[[0, 1, 2]]",0.892,1.0,0.012,0.0725,1.5,0.15,0.03,1000000.0,35.27354126809146,11.278536826150365,47.21398335283368,0.19557878925925892,0.7197226649608601,0.6661442957298538,7.727626799589e-08;8.220072166395e-08;9.734957107575e-08,7.853370467016945e-16,3.505317393260029e-15,29.93555775699745,
True,"[[0, 1, 2]]",0.892,1.0,0.012,0.075,1.5,0.15,0.03,1000000.0,38.157428507129836,11.664067079413083,46.224626722126935,0.20217313811116724,0.7071470184222598,0.6775463943987103,7.708503514212e-08;8.175833987480e-08;9.737921533665e-08,7.423234962204877e-16,3.540608936718775e-15,,outside_angle_window
